Tweet Count,Username,Text,Created_at,Retweets,Likes
40,Jade ♥🌹,@PeshK319 😂😂okay,Mon Aug 05 06:30:51 +0000 2024,0,1
73,Jade ♥🌹,@ashabapresh 😂😂😂they don't make crisps like those anymore 😕,Sun Aug 04 11:00:38 +0000 2024,0,0
63,Jade ♥🌹,@ashabapresh 😂😂😂😂dear,Sat Aug 03 17:58:48 +0000 2024,0,1
74,Jade ♥🌹,@arinda256 😂😂😂😂bansonyiye dda😂😂 I can't say the same for you 😂😂,Sat Aug 03 15:28:26 +0000 2024,0,0
71,Jade ♥🌹,@arinda256 Ahaa😂binyuma🤭,Sat Aug 03 13:06:23 +0000 2024,0,0
69,Jade ♥🌹,@RobinInnocentJr 😂😂😂😂😂,Sat Jul 20 06:08:11 +0000 2024,0,0
61,Jade ♥🌹,@IamReagzo 💀💀😂😂😂 https://t.co/6WAEeag6v1,Fri Jul 19 12:12:17 +0000 2024,0,1
66,Jade ♥🌹,@MKapidi @KatushabeJulius 🤣😂😂,Fri Jul 19 11:06:54 +0000 2024,0,0
65,Jade ♥🌹,@htuhairwe 😆😆😂😂😂😂😂🤦‍♀️,Tue Jul 16 09:07:36 +0000 2024,0,0
64,Jade ♥🌹,@LatashaMayK Ma'am 😂😂😂😂,Mon Jul 15 18:13:41 +0000 2024,0,1
60,Jade ♥🌹,@arinda256 @malbiee 😒😒 https://t.co/J5FIg5wp97,Fri Jul 12 19:14:22 +0000 2024,0,0
75,Jade ♥🌹,@arinda256 @malbiee Can't even find a verse😒mwantama btw😒😒,Fri Jul 12 19:12:34 +0000 2024,0,0
78,Jade ♥🌹,@arinda256 @malbiee 😂😂😂😂mbu you nolonger want poems in your honor?😂😂😂 &lt;&lt;goes to scroll through the poetry page&gt;&gt;🤭😂,Fri Jul 12 19:09:47 +0000 2024,0,0
79,Jade ♥🌹,@malbiee @arinda256 😂😂😂😂😂Guess we prefer the version of you that's not sober....atee all of you😒😒including the muse in this particular one💀,Fri Jul 12 19:07:18 +0000 2024,0,0
77,Jade ♥🌹,"@malbiee @arinda256 😂😂😂you people were throwing around words unprovoked 😂😂must have been nice💀😂

Pain😔😔",Fri Jul 12 18:37:54 +0000 2024,0,0
76,Jade ♥🌹,"@malbiee @arinda256 😂😂😂😂emama😂
What will it take to revive the 2021 writing spirit?🥺",Fri Jul 12 18:33:24 +0000 2024,0,0
67,Jade ♥🌹,@JessieJessy8 😂😂eish,Fri Jul 12 08:07:18 +0000 2024,0,0
72,Jade ♥🌹,@JessieJessy8 😂😂😂😂😂oliwa? I need to pick that phone💀,Thu Jul 11 21:02:45 +0000 2024,0,1
70,Jade ♥🌹,@KatushabeJulius 😂😂😂😂see why you're single💀,Wed Jul 10 11:30:10 +0000 2024,0,1
68,Jade ♥🌹,@arinda256 💀💀💀😂😂😂😂,Tue Jul 09 09:03:19 +0000 2024,0,0
62,Jade ♥🌹,@RobinInnocentJr @JulietAlinaitwe 💀💀 https://t.co/RZ0SlYbpta,Mon Jul 08 10:58:34 +0000 2024,0,0
90,Jade ♥🌹,@RobinInnocentJr @JulietAlinaitwe 😂😂😂yes sir,Mon Jul 08 10:04:57 +0000 2024,0,0
97,Jade ♥🌹,@RobinInnocentJr @JulietAlinaitwe 😂😂😂😂in your dreams? Love it for you💀😆,Mon Jul 08 10:03:38 +0000 2024,0,0
92,Jade ♥🌹,@RobinInnocentJr @JulietAlinaitwe Which Madam dear?💀😂,Mon Jul 08 10:01:00 +0000 2024,0,0
85,Jade ♥🌹,@Still_Felsie @Felsie15 @PeshK319 @DzimboT 🫶🫶,Sun Jul 07 11:01:46 +0000 2024,0,0
87,Jade ♥🌹,@PeshK319 😂😂😂😂😂😂😂Mumbejja dear 😂😂😂,Thu Jul 04 19:50:16 +0000 2024,0,1
96,Jade ♥🌹,@Felsie15 @arinda256 @ShopaholicsUg @PeshK319 @iam_daphyn @DzimboT Yes please🥺,Thu Jul 04 18:46:58 +0000 2024,0,0
86,Jade ♥🌹,@arinda256 Ahaa😂😂😂we agree,Wed Jul 03 14:42:54 +0000 2024,0,0
93,Jade ♥🌹,@joedybalaa @JessieJessy8 😂😂😂so tumuleke atushwaze?😂😂😂,Fri Jun 28 20:20:03 +0000 2024,0,0
94,Jade ♥🌹,@JessieJessy8 😂😂😂😂akagwe😂😂 @joedybalaa did you do this?😂😂,Fri Jun 28 20:06:00 +0000 2024,0,0
89,Jade ♥🌹,@JessieJessy8 😂😂😂😂no love at home?😆,Fri Jun 28 19:37:59 +0000 2024,0,0
84,Jade ♥🌹,@PeshK319 😂😂😂😂ma'am 😆,Sat Jun 22 10:20:54 +0000 2024,0,0
83,Jade ♥🌹,@JulietAlinaitwe @watotochurch @djflames116 Tujja tujja 🥳🥳🥳,Sat Jun 22 06:11:47 +0000 2024,0,1
91,Jade ♥🌹,@LatashaMayK Senchu senchu baby girl🫶❤️❤️,Thu Jun 13 12:39:18 +0000 2024,0,0
88,Jade ♥🌹,@RobinInnocentJr Thank you Innocent 🥳❤️,Thu Jun 13 12:38:57 +0000 2024,0,1
98,Jade ♥🌹,"@Bae__Sabrina 🥺🥺🥺 Thank you so much baby girl❤️Amennn😊🙏
Happy happy birthday to you too❤️May God go before you all year🙏❤️",Thu Jun 13 06:56:22 +0000 2024,0,0
82,Jade ♥🌹,@Nattabi4 @Adams_yathrib @IanNdamwesiga 😂😂😂nesonyiwa dear💀,Sun Jun 09 18:05:06 +0000 2024,0,1
95,Jade ♥🌹,@Beinomugisha_VI @DerrickNahumuza 😂😂😂iyii😆hoona kawabeiha😂😂,Thu Jun 06 15:46:13 +0000 2024,0,0
80,Jade ♥🌹,@ashabapresh Uhmm💀 https://t.co/G0n3JelAdd,Thu May 30 17:06:17 +0000 2024,0,0
81,Jade ♥🌹,@PeshK319 Bansonyiwe 😂thank you❤️ https://t.co/frOxUfDL8d,Fri May 24 18:17:20 +0000 2024,0,0
